"ID" "nombre" "municipio" "estado" "estado..ISO." "situación" "latitud" "longitud" "altitud"
"1" 1001 "Aguascalientes (OBS)" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.85027778 -102.2908333 1890.8
"2" 1003 "Calvillo (SMN)" "Calvillo" "Aguascalientes" "ags" "Suspendida" 21.88333333 -102.7188889 1640
"3" 1004 "Cañada Honda" "Aguascalientes" "Aguascalientes" "ags" "Operando" 22.00083333 -102.1988889 1925
"4" 1005 "Presa El Niagara" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.78055556 -102.3716667 1844
"5" 1006 "El Tule (SMN)" "Asientos" "Aguascalientes" "ags" "Suspendida" 22.08166667 -102.0913889 1960
"6" 1007 "Jesús Maria (SMN)" "Jesús María" "Aguascalientes" "ags" "Suspendida" 21.96222222 -102.3447222 1880
"7" 1008 "Puerto De La Concepcion" "Tepezalá" "Aguascalientes" "ags" "Operando" 22.20277778 -102.135 2322.8
"8" 1009 "La Labor (SMN)" "Calvillo" "Aguascalientes" "ags" "Suspendida" 21.96222222 -102.6947222 1740
"9" 1010 "La Tinaja" "San José De Gracia" "Aguascalientes" "ags" "Operando" 22.16444444 -102.5541667 2525.7
"10" 1011 "Malpaso" "Calvillo" "Aguascalientes" "ags" "Operando" 21.86 -102.6638889 1730.2
"11" 1012 "Presa Media Luna" "Calvillo" "Aguascalientes" "ags" "Operando" 21.79444444 -102.8016667 1588.7
"12" 1013 "Mesillas" "Tepezalá" "Aguascalientes" "ags" "Operando" 22.31333333 -102.1658333 2020.5
"13" 1014 "Pabellón Campo Experimental" "Pabellón De Arteaga" "Aguascalientes" "ags" "Operando" 22.16694444 -102.2927778 1933.7
"14" 1015 "Palo Alto" "El Llano" "Aguascalientes" "ags" "Operando" 21.91638889 -101.9694444 2037.5
"15" 1016 "Ganadería Peñuelas" "Aguascalientes" "Aguascalientes" "ags" "Suspendida" 21.71055556 -102.2822222 1850
"16" 1017 "Presa Potrerillos" "San José De Gracia" "Aguascalientes" "ags" "Operando" 22.23277778 -102.4436111 2171.9
"17" 1018 "Presa Plutarco Elías Calles" "San José De Gracia" "Aguascalientes" "ags" "Operando" 22.14138889 -102.4152778 2053.1
"18" 1019 "Presa Jocoque" "Pabellón De Arteaga" "Aguascalientes" "ags" "Operando" 22.12805556 -102.3594444 2006.2
"19" 1020 "Presa La Codorniz" "Calvillo" "Aguascalientes" "ags" "Operando" 21.99666667 -102.6741667 1850.2
"20" 1021 "Rancho Viejo" "San José De Gracia" "Aguascalientes" "ags" "Operando" 22.12333333 -102.5111111 2126.6
"21" 1022 "San Bartolo" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.74805556 -102.1702778 1997.6
"22" 1023 "Calvillo (DGE)" "Calvillo" "Aguascalientes" "ags" "Operando" 21.83666667 -102.7116667 1684.6
"23" 1024 "San Isidro" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.77861111 -102.1038889 2004.4
"24" 1025 "San Francisco De Los Romo (SMN)" "San Francisco De Los Romo" "Aguascalientes" "ags" "Suspendida" 22.07722222 -102.2711111 1880
"25" 1026 "Tepezalá" "Tepezalá" "Aguascalientes" "ags" "Operando" 22.22361111 -102.1688889 2110.2
"26" 1027 "Venadero (DGE)" "Jesús María" "Aguascalientes" "ags" "Operando" 21.87722222 -102.4633333 2025.6
"27" 1028 "Villa Juárez" "Asientos" "Aguascalientes" "ags" "Operando" 22.10083333 -102.0677778 1999.3
"28" 1029 "Asientos" "Asientos" "Aguascalientes" "ags" "Operando" 22.23972222 -102.0888889 2162.8
"29" 1030 "Aguascalientes" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.89555556 -102.3086111 1888.7
"30" 1031 "El Novillo" "El Llano" "Aguascalientes" "ags" "Operando" 22.01888889 -101.9991667 2042.6
"31" 1032 "Las Fraguas" "Asientos" "Aguascalientes" "ags" "Operando" 22.03916667 -101.8925 2086
"32" 1033 "Los Conos" "El Llano" "Aguascalientes" "ags" "Operando" 21.89777778 -101.9925 2025.9
"33" 1034 "Sandovales" "El Llano" "Aguascalientes" "ags" "Operando" 21.885 -102.1091667 2007
"34" 1035 "San Francisco De Los Viveros" "El Llano" "Aguascalientes" "ags" "Suspendida" 21.91194444 -102.13 2020
"35" 1036 "Santa Rosa" "Aguascalientes" "Aguascalientes" "ags" "Suspendida" 21.81666667 -102.3 1860
"36" 1041 "Pabellon De Arteaga (SMN)" "Pabellón De Arteaga" "Aguascalientes" "ags" "Suspendida" 22.15 -102.2833333 1900
"37" 1043 "E.T.A. 127 Aguascalientes" "Aguascalientes" "Aguascalientes" "ags" "Suspendida" 21.88333333 -102.3 1855
"38" 1045 "El Tule (DGE)" "Asientos" "Aguascalientes" "ags" "Operando" 22.08305556 -102.0911111 1981.7
"39" 1046 "La Labor (DGE)" "Calvillo" "Aguascalientes" "ags" "Operando" 21.96444444 -102.6972222 1784.5
"40" 1047 "Agua Zarca" "Calvillo" "Aguascalientes" "ags" "Suspendida" 21.97416667 -102.5844444 2416.8
"41" 1057 "Venadero (SMN)" "Jesús María" "Aguascalientes" "ags" "Suspendida" 21.8725 -102.4666667 2000
"42" 1062 "Arellano" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.80194444 -102.2730556 1910.7
"43" 1063 "Peñuelas (SMN)" "Aguascalientes" "Aguascalientes" "ags" "Suspendida" 21.725 -102.275 1870
"44" 1073 "La Tinaja" "El Llano" "Aguascalientes" "ags" "Operando" 21.80944444 -102.1297222 2027.1
"45" 1074 "Cieneguilla" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.73111111 -102.4527778 1838.8
"46" 1075 "Montoro" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.75722222 -102.3022222 1870.5
"47" 1076 "Los Negritos" "Aguascalientes" "Aguascalientes" "ags" "Suspendida" 21.87055556 -102.3491667 1887.1
"48" 1077 "El Ocote" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.78277778 -102.5175 2044.6
"49" 1078 "El Ocote" "Calvillo" "Aguascalientes" "ags" "Operando" 21.89027778 -102.8325 2328.9
"50" 1079 "Peñuelas (DGE)" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.72583333 -102.2722222 1900.3
"51" 1080 "Presa Canutillo" "Jesús María" "Aguascalientes" "ags" "Operando" 21.8375 -102.5222222 1949.7
"52" 1081 "Rancho Seco" "Asientos" "Aguascalientes" "ags" "Operando" 22.08833333 -101.9672222 2067.2
"53" 1082 "Rincon De Romos" "Rincón De Romos" "Aguascalientes" "ags" "Operando" 22.23111111 -102.3152778 1965.3
"54" 1083 "San Francisco De Los Romo (DGE)" "San Francisco De Los Romo" "Aguascalientes" "ags" "Operando" 22.07888889 -102.2730556 1909.1
"55" 1084 "San Gil" "Asientos" "Aguascalientes" "ags" "Operando" 22.20833333 -102.0222222 2032.2
"56" 1085 "Tepetatillo" "Asientos" "Aguascalientes" "ags" "Operando" 22.09111111 -102.1813889 2039.7
"57" 1088 "Cosío" "Cosío" "Aguascalientes" "ags" "Operando" 22.36277778 -102.2969444 2022.7
"58" 1089 "Presa 50 Aniversario" "San José De Gracia" "Aguascalientes" "ags" "Operando" 22.18861111 -102.4641667 2104.3
"59" 1090 "Jesús Maria (DGE)" "Jesús María" "Aguascalientes" "ags" "Operando" 21.96222222 -102.3505556 1880.9
"60" 1091 "Los Alisos" "Calvillo" "Aguascalientes" "ags" "Operando" 21.74222222 -102.7169444 2216
"61" 1094 "El Chayote" "Tepezalá" "Aguascalientes" "ags" "Operando" 22.28611111 -102.2358333 1951.2
"62" 1095 "Milpillas De Arriba" "Jesús María" "Aguascalientes" "ags" "Operando" 21.935 -102.5508333 2163.6
"63" 1096 "Calvillito" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.83527778 -102.1825 1969.8
"64" 1097 "Aguascalientes II" "Aguascalientes" "Aguascalientes" "ags" "Operando" 21.90555556 -102.265 1945.5
"65" 1098 "La Posta U.A.A." "Jesús María" "Aguascalientes" "ags" "Operando" 21.9725 -102.3625 1940.9
"66" 1099 "Jesús Terán (El Muerto)" "El Llano" "Aguascalientes" "ags" "Operando" 21.97583333 -102.0619444 2044
"67" 1101 "Las Presas" "El Llano" "Aguascalientes" "ags" "Operando" 21.90916667 -102.0869444 2044.6
"68" 1102 "Pabellón De Arteaga (DGE)" "Pabellón De Arteaga" "Aguascalientes" "ags" "Operando" 22.14722222 -102.2791667 1929.7
"69" 1103 "Alamitos Campamento" "San José De Gracia" "Aguascalientes" "ags" "Operando" 22.1775 -102.5861111 2603.4
"70" 1104 "Abelardo L. Rodríguez" "Jesús María" "Aguascalientes" "ags" "Suspendida" 21.91444444 -102.4286111 1970.8
"71" 1105 "Los Cuartos" "Jesús María" "Aguascalientes" "ags" "Operando" 21.98638889 -102.35 1901.3
"72" 1106 "La Primavera" "Jesús María" "Aguascalientes" "ags" "Operando" 21.95861111 -102.4758333 2059
"73" 1108 "Arroyo Hondo  (CYCNA)" "Tepezalá" "Aguascalientes" "ags" "Suspendida" 22.1825 -102.2077778 1999
"74" 2001 "Agua Caliente" "Ensenada" "Baja California" "bc" "Operando" 32.1075 -116.4541667 400
"75" 2002 "Bahía De Los Angeles" "San Quintín" "Baja California" "bc" "Operando" 28.60388889 -113.5561111 4
"76" 2003 "Bataquez" "Mexicali" "Baja California" "bc" "Suspendida" 32.55111111 -115.0688889 23
"77" 2004 "Ignacio Zaragoza -Belén-" "Ensenada" "Baja California" "bc" "Operando" 32.19527778 -116.4855556 540
"78" 2005 "Boquilla Santa Rosa De La Misión" "Ensenada" "Baja California" "bc" "Suspendida" 32.02166667 -116.7769444 250
"79" 2006 "Chapala" "San Quintín" "Baja California" "bc" "Operando" 29.48805556 -114.3638889 660
"80" 2007 "Cerro Prieto (CFE)" "Mexicali" "Baja California" "bc" "Suspendida" 32.43805556 -115.3875 10
"81" 2008 "Colonia Guerrero" "San Quintín" "Baja California" "bc" "Suspendida" 30.71666667 -115.9833333 30
"82" 2009 "Colonia Juárez" "Mexicali" "Baja California" "bc" "Suspendida" 32.29861111 -115.0161111 17
"83" 2010 "Compostela" "Ensenada" "Baja California" "bc" "Suspendida" 31.78333333 -115.7666667 625
"84" 2011 "Delta" "Mexicali" "Baja California" "bc" "Operando" 32.35305556 -115.1891667 12
"85" 2012 "Ejido Jose Maria Morelos" "San Quintín" "Baja California" "bc" "Operando" 28.3 -114.0258333 20
"86" 2013 "Ejido Plan Nacional Agrario" "Ensenada" "Baja California" "bc" "Suspendida" 30.67 -115.1311111 420
"87" 2014 "El Álamo" "Ensenada" "Baja California" "bc" "Suspendida" 31.59333333 -116.0544444 1115
"88" 2015 "El Arco" "San Quintín" "Baja California" "bc" "Operando" 28.02861111 -113.3963889 288
"89" 2016 "El Barril" "San Quintín" "Baja California" "bc" "Suspendida" 28.3025 -112.8783333 50
"90" 2017 "Planta De Bombeo Rosarito" "Playas De Rosarito" "Baja California" "bc" "Suspendida" 32.32777778 -117.0472222 72
"91" 2019 "El Compadre" "Tecate" "Baja California" "bc" "Suspendida" 32.3375 -116.2541667 1110
"92" 2020 "El Mayor" "Mexicali" "Baja California" "bc" "Operando" 32.1275 -115.2780556 15
"93" 2021 "El Pinal" "Ensenada" "Baja California" "bc" "Suspendida" 32.18333333 -116.2916667 1320
"94" 2022 "El Rosario" "San Quintín" "Baja California" "bc" "Operando" 30.05944444 -115.7233333 40
"95" 2023 "El Socorro" "San Quintín" "Baja California" "bc" "Operando" 30.32055556 -115.8205556 26
"96" 2024 "El Testerazo" "Tecate" "Baja California" "bc" "Operando" 32.29638889 -116.5344444 380
"97" 2025 "Ensenada (OBS)" "Ensenada" "Baja California" "bc" "Operando" 31.85777778 -116.6058333 21
"98" 2026 "Isla Guadalupe (OBS)" "Insular - Sin Municipio" "Baja California" "bc" "Suspendida" 29.02 -118.2780556 580
"99" 2027 "Isla Cedros" "Insular - Sin Municipio" "Baja California" "bc" "Suspendida" 28.135 -115.175 3
